Date,Close,High,Low,Open,Volume
2020-01-02,33.22899627685547,33.32160916836418,32.56219384975744,32.72889631220422,3372395
2020-01-03,33.28456115722656,33.32160779684302,32.525149581221825,32.64554188161435,4845126
2020-01-06,32.941898345947266,33.29382284627479,32.59923364934367,33.10859708104293,3935056
2020-01-07,32.562191009521484,33.108597372266814,32.42327539571986,32.932638831899496,3958693
2020-01-08,33.81244659423828,33.96988552799653,32.42327560200687,32.728893665659086,7253034
2020-01-09,34.11806869506836,34.34959722117028,33.90506349023111,33.96988954764041,5423335
2020-01-10,33.65501022338867,34.47925159309347,33.50683108221052,34.12732706063147,5046511
2020-01-13,33.98841094970703,34.062500519237446,33.66426954692953,33.67352935136666,4102825
2020-01-14,33.849491119384766,34.37737790280431,33.39569761575506,34.04397670047208,3518733
2020-01-15,33.77540588378906,34.15510982596032,33.432741159505476,33.895798187301885,3660554
2020-01-16,33.2197380065918,34.21067817705067,32.84003032975053,33.969889843888865,5037267
2020-01-17,33.10860061645508,33.488308279844595,32.90485522201897,33.34012913637387,3400759
2020-01-20,33.38643264770508,33.38643264770508,32.92337564857372,33.108597705957415,1786207
2020-01-21,32.8122444152832,33.655009076758304,32.65480547489957,33.23825850381993,5818227
2020-01-22,32.96968460083008,33.06229749224493,31.74721224860782,32.784462529344914,4960368
2020-01-23,32.265838623046875,32.98820728586376,31.904650580293975,32.978947481438475,5182870
2020-01-24,31.330461502075195,32.339924941226144,31.135975915621717,32.339924941226144,7391809
2020-01-27,29.431922912597656,30.747006197417555,29.181872950137436,30.747006197417555,11489907
2020-01-28,29.04295539855957,30.00611417453171,29.005910616136937,29.913503146311182,12642648
2020-01-29,28.802165985107422,29.533798137275035,28.320587512509896,29.172611963236687,7932304
2020-01-30,28.339109420776367,28.524331484909563,27.811224496757358,28.28354317267085,10576475
2020-01-31,28.292802810668945,28.709555236028237,27.737134765862073,27.977924932358185,8212479
2020-02-03,29.23744010925293,29.987593731407113,28.478026682932132,28.478026682932132,10249237
2020-02-04,29.802370071411133,30.330256851716925,29.580103223058092,29.913504423423753,7359347
